Quiz ID	Question Number	Question	Answer Choice A	Answer Choice B	Answer Choice C	Num Answered A	Num Answered B	Num Answered C	Correct Answer	Theme Question	Notes
2ade9ec3-54f6-4e28-b573-499926b731d9	1	Which of these is the name of a princess in Disney's "Frozen"?	Frosier	Jack Frost	Elsa	4344	8196	784819	C		
2ade9ec3-54f6-4e28-b573-499926b731d9	2	The Olympic logo features what combination of shapes?	Two triangles	Five rings	Seven parabolas	4172	762379	6383	B	TRUE	
2ade9ec3-54f6-4e28-b573-499926b731d9	3	The Italian cooking term "al dente" means what?	Firm	With butter	Salted	580704	109194	60009	A		
2ade9ec3-54f6-4e28-b573-499926b731d9	4	Which of these companies offers a "freemium" service?	Spotify	Netflix	Tidal	423641	45116	101647	A		
2ade9ec3-54f6-4e28-b573-499926b731d9	5	What word does Nestle use to describe their Toll House chocolate chips?	Morsels	Nibbles	Samples	353062	62496	5917	A		
2ade9ec3-54f6-4e28-b573-499926b731d9	6	Which of these countries legally guarantees its citizens "freedom to roam"?	Brazil	Sweden	Mongolia	44547	218393	84152	B		
2ade9ec3-54f6-4e28-b573-499926b731d9	7	Bill Cunningham was a key influence in what style of photography?	Tilt-shift	Portrait	Street style	44724	56927	115438	C		
2ade9ec3-54f6-4e28-b573-499926b731d9	8	"INTJ" is a personality type based on a hypothesis by which psychiatrist?	B.F. Skinner	Carl Jung	Sigmund Freud	34983	50838	28643	B		
2ade9ec3-54f6-4e28-b573-499926b731d9	9	Which of these activists is the subject of a song by John Lennon and Yoko Ono?	Angela Davis	Martin Luther King, Jr.	Bobby Seale	24450	15515	11372	A		
2ade9ec3-54f6-4e28-b573-499926b731d9	10	The U.S. flag bearer for the 2018 Olympics is a medalist in what event?	Figure skating	Speed skating	Luge	3846	6662	14655	C	TRUE	
2ade9ec3-54f6-4e28-b573-499926b731d9	11	Which classic play was turned into a musical that features the song, "Sing For Your Supper"?	Dr. Faustus	The Comedy of Errors	The Threepenny Opera	1122	11581	2195	B		
2ade9ec3-54f6-4e28-b573-499926b731d9	12	Which of these people was born with the same name as a famous ketchup?	Henry Ford	Karl Marx	Henry Kissinger	794	8811	2006	C		
